Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Symptom 17
Гепатит С,втома,жовтувата шкіра,нудота,втрата апетиту,пожовтіння очей,сімейний анамнез,,,,,,,,,,,
Гепатит С,жовтувата шкіра,нудота,втрата апетиту,пожовтіння очей,сімейний анамнез,,,,,,,,,,,,
Гепатит С,втома,нудота,втрата апетиту,пожовтіння очей,сімейний анамнез,,,,,,,,,,,,
Гепатит С,втома,жовтувата шкіра,втрата апетиту,пожовтіння очей,сімейний анамнез,,,,,,,,,,,,
Гепатит С,втома,жовтувата шкіра,нудота,пожовтіння очей,сімейний анамнез,,,,,,,,,,,,
Гепатит С,втома,жовтувата шкіра,нудота,втрата апетиту,сімейний анамнез,,,,,,,,,,,,
Гепатит С,втома,жовтувата шкіра,нудота,втрата апетиту,пожовтіння очей,,,,,,,,,,,,
Гепатит С,втома,жовтувата шкіра,нудота,втрата апетиту,пожовтіння очей,сімейний анамнез,,,,,,,,,,,
Гепатит С,втома,жовтувата шкіра,нудота,втрата апетиту,пожовтіння очей,сімейний анамнез,,,,,,,,,,,
Гепатит D,біль у суглобах,блювання,втома,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,
Гепатит D,блювання,втома,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,
Гепатит D,біль у суглобах,втома,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,
Гепатит D,біль у суглобах,блювання,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,
Гепатит D,біль у суглобах,блювання,втома,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,
Гепатит D,біль у суглобах,блювання,втома,жовтувата шкіра,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,
Гепатит D,біль у суглобах,блювання,втома,жовтувата шкіра,темна сеча,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,
Гепатит D,біль у суглобах,блювання,втома,жовтувата шкіра,темна сеча,нудота,біль у животі,пожовтіння очей,,,,,,,,,
Гепатит D,біль у суглобах,блювання,втома,жовтувата шкіра,темна сеча,нудота,втрата апетиту,пожовтіння очей,,,,,,,,,
Гепатит D,біль у суглобах,блювання,втома,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,,,,,,,,,
Гепатит Е,біль у суглобах,блювання,втома,висока температура,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,кома,шлункова кровотеча,,,,,
Гепатит Е,біль у суглобах,блювання,втома,висока температура,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,гостра печінкова недостатність,кома,шлункова кровотеча,,,,
Гепатит Е,біль у суглобах,блювання,втома,висока температура,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,гостра печінкова недостатність,кома,шлункова кровотеча,,,,
Гепатит Е,блювання,втома,висока температура,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,гостра печінкова недостатність,кома,шлункова кровотеча,,,,,
Гепатит Е,біль у суглобах,втома,висока температура,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,гостра печінкова недостатність,кома,шлункова кровотеча,,,,,
Гепатит Е,біль у суглобах,блювання,висока температура,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,гостра печінкова недостатність,кома,шлункова кровотеча,,,,,
Гепатит Е,біль у суглобах,блювання,втома,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,гостра печінкова недостатність,кома,шлункова кровотеча,,,,,
Гепатит Е,біль у суглобах,блювання,втома,висока температура,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,гостра печінкова недостатність,кома,шлункова кровотеча,,,,,
Гепатит Е,біль у суглобах,блювання,втома,висока температура,жовтувата шкіра,нудота,втрата апетиту,біль у животі,пожовтіння очей,гостра печінкова недостатність,кома,шлункова кровотеча,,,,,
Гепатит Е,біль у суглобах,блювання,втома,висока температура,жовтувата шкіра,темна сеча,втрата апетиту,біль у животі,пожовтіння очей,гостра печінкова недостатність,кома,шлункова кровотеча,,,,,
Алкогольний гепатит,блювання,жовтувата шкіра,біль у животі,здуття живота,здуття живота,вживання алкоголю в анамнезі,перевантаження рідиною,,,,,,,,,,
Алкогольний гепатит,блювання,жовтувата шкіра,біль у животі,здуття живота,здуття живота,вживання алкоголю в анамнезі,перевантаження рідиною,,,,,,,,,,
Алкогольний гепатит,жовтувата шкіра,біль у животі,здуття живота,здуття живота,вживання алкоголю в анамнезі,перевантаження рідиною,,,,,,,,,,,
Алкогольний гепатит,блювання,біль у животі,здуття живота,здуття живота,вживання алкоголю в анамнезі,перевантаження рідиною,,,,,,,,,,,
Алкогольний гепатит,блювання,жовтувата шкіра,здуття живота,здуття живота,вживання алкоголю в анамнезі,перевантаження рідиною,,,,,,,,,,,
Алкогольний гепатит,блювання,жовтувата шкіра,біль у животі,здуття живота,вживання алкоголю в анамнезі,перевантаження рідиною,,,,,,,,,,,
Алкогольний гепатит,блювання,жовтувата шкіра,біль у животі,здуття живота,вживання алкоголю в анамнезі,перевантаження рідиною,,,,,,,,,,,
Алкогольний гепатит,блювання,жовтувата шкіра,біль у животі,здуття живота,здуття живота,перевантаження рідиною,,,,,,,,,,,
Алкогольний гепатит,блювання,жовтувата шкіра,біль у животі,здуття живота,здуття живота,вживання алкоголю в анамнезі,,,,,,,,,,,
Алкогольний гепатит,блювання,жовтувата шкіра,біль у животі,здуття живота,здуття живота,вживання алкоголю в анамнезі,перевантаження рідиною,,,,,,,,,,
Туберкульоз,озноб,блювання,втома,втрата ваги,кашель,висока температура,задишка,пітливість,втрата апетиту,легка лихоманка,пожовтіння очей,збільшення лімфовузлів,нездужання,мокрота,біль у грудях,кров у мокроті,
Туберкульоз,озноб,блювання,втома,втрата ваги,кашель,висока температура,задишка,пітливість,втрата апетиту,легка лихоманка,пожовтіння очей,збільшення лімфовузлів,нездужання,мокрота,біль у грудях,кров у мокроті,
Туберкульоз,блювання,втома,втрата ваги,кашель,висока температура,задишка,пітливість,втрата апетиту,легка лихоманка,пожовтіння очей,збільшення лімфовузлів,нездужання,мокрота,біль у грудях,кров у мокроті,,
Туберкульоз,озноб,втома,втрата ваги,кашель,висока температура,задишка,пітливість,втрата апетиту,легка лихоманка,пожовтіння очей,збільшення лімфовузлів,нездужання,мокрота,біль у грудях,кров у мокроті,,
Туберкульоз,озноб,блювання,втрата ваги,кашель,висока температура,задишка,пітливість,втрата апетиту,легка лихоманка,пожовтіння очей,збільшення лімфовузлів,нездужання,мокрота,біль у грудях,кров у мокроті,,
Туберкульоз,озноб,блювання,втома,кашель,висока температура,задишка,пітливість,втрата апетиту,легка лихоманка,пожовтіння очей,збільшення лімфовузлів,нездужання,мокрота,біль у грудях,кров у мокроті,,
Туберкульоз,озноб,блювання,втома,втрата ваги,висока температура,задишка,пітливість,втрата апетиту,легка лихоманка,пожовтіння очей,збільшення лімфовузлів,нездужання,мокрота,біль у грудях,кров у мокроті,,
Туберкульоз,озноб,блювання,втома,втрата ваги,кашель,задишка,пітливість,втрата апетиту,легка лихоманка,пожовтіння очей,збільшення лімфовузлів,нездужання,мокрота,біль у грудях,кров у мокроті,,
Туберкульоз,озноб,блювання,втома,втрата ваги,кашель,висока температура,пітливість,втрата апетиту,легка лихоманка,пожовтіння очей,збільшення лімфовузлів,нездужання,мокрота,біль у грудях,кров у мокроті,,
Туберкульоз,озноб,блювання,втома,втрата ваги,кашель,висока температура,задишка,втрата апетиту,легка лихоманка,пожовтіння очей,збільшення лімфовузлів,нездужання,мокрота,біль у грудях,кров у мокроті,,
Застуда,безперервне чхання,озноб,втома,кашель,висока температура,головний біль,збільшення лімфовузлів,нездужання,мокротиння,подразнення горла,почервоніння очей,синусовий тиск,нежить,закладеність,біль у грудях,втрата нюху,біль у м’язах
Застуда,безперервне чхання,озноб,втома,кашель,висока температура,головний біль,збільшення лімфовузлів,нездужання,мокротиння,подразнення горла,почервоніння очей,синусовий тиск,нежить,закладеність,біль у грудях,втрата нюху,біль у м’язах
Застуда,озноб,втома,кашель,висока температура,головний біль,збільшення лімфовузлів,нездужання,мокрота,подразнення горла,почервоніння очей,тиск у носових пазухах,нежить,закладеність,біль у грудях,втрата нюху,біль у м’язах,
Застуда,безперервне чхання,втома,кашель,висока температура,головний біль,збільшення лімфовузлів,нездужання,мокрота,подразнення горла,почервоніння очей,тиск у пазухах,нежить,закладеність,біль у грудях,втрата нюху,біль у м’язах,
Застуда,безперервне чхання,озноб,кашель,висока температура,головний біль,збільшення лімфовузлів,нездужання,мокрота,подразнення горла,почервоніння очей,тиск у пазухах,нежить,закладеність,біль у грудях,втрата нюху,біль у м’язах,
Застуда,безперервне чхання,озноб,втома,висока температура,головний біль,збільшення лімфовузлів,нездужання,мокрота,подразнення горла,почервоніння очей,тиск у пазухах,нежить,закладеність,біль у грудях,втрата нюху,біль у м’язах,
Застуда,безперервне чхання,озноб,втома,кашель,головний біль,збільшення лімфовузлів,нездужання,мокрота,подразнення горла,почервоніння очей,синусовий тиск,нежить,закладеність,біль у грудях,втрата нюху,біль у м’язах,
Застуда,безперервне чхання,озноб,втома,кашель,висока температура,збільшення лімфовузлів,нездужання,мокрота,подразнення горла,почервоніння очей,тиск у пазухах,нежить,закладеність,біль у грудях,втрата нюху,біль у м’язах,
Застуда,безперервне чхання,озноб,втома,кашель,висока температура,головний біль,нездужання,мокрота,подразнення горла,почервоніння очей,синусовий тиск,нежить,закладеність,біль у грудях,втрата нюху,біль у м’язах,
Застуда,безперервне чхання,озноб,втома,кашель,висока температура,головний біль,збільшення лімфовузлів,мокрота,подразнення горла,почервоніння очей,синусовий тиск,нежить,закладеність,біль у грудях,втрата нюху,біль у м’язах,
Пневмонія,озноб,втома,кашель,висока температура,задишка,пітливість,нездужання,біль у грудях,прискорене серцебиття,іржаве мокротиння,,,,,,,
Пневмонія,озноб,втома,кашель,висока температура,задишка,пітливість,нездужання,мокрота,біль у грудях,прискорене серцебиття,іржаве мокротиння,,,,,,
Пневмонія,озноб,втома,кашель,висока температура,задишка,пітливість,нездужання,мокрота,біль у грудях,прискорене серцебиття,іржаве мокротиння,,,,,,
Пневмонія,втома,кашель,висока температура,задишка,пітливість,нездужання,мокрота,біль у грудях,прискорене серцебиття,іржаве мокротиння,,,,,,,
Пневмонія,озноб,кашель,висока температура,задишка,пітливість,нездужання,мокрота,біль у грудях,прискорене серцебиття,іржаве мокротиння,,,,,,,
Пневмонія,озноб,втома,висока температура,задишка,пітливість,нездужання,мокрота,біль у грудях,прискорене серцебиття,іржаве мокротиння,,,,,,,
Пневмонія,озноб,втома,кашель,задишка,пітливість,нездужання,мокрота,біль у грудях,прискорене серцебиття,іржаве мокротиння,,,,,,,
Пневмонія,озноб,втома,кашель,висока температура,пітливість,нездужання,мокрота,біль у грудях,прискорене серцебиття,іржаве мокротиння,,,,,,,
Пневмонія,озноб,втома,кашель,висока температура,задишка,нездужання,мокрота,біль у грудях,прискорене серцебиття,іржаве мокротиння,,,,,,,
Пневмонія,озноб,втома,кашель,висока температура,задишка,пітливість,мокрота,біль у грудях,прискорене серцебиття,іржаве мокротиння,,,,,,,
Диморфний геморой,запор,біль під час випорожнення,біль у анальній ділянці,кров у калі,подразнення заднього проходу,,,,,,,,,,,,
Диморфний геморой,запор,біль під час випорожнення,біль у анальній ділянці,кров у калі,подразнення заднього проходу,,,,,,,,,,,,
Диморфний геморой,запор,біль під час випорожнення,біль у анальній ділянці,кров у калі,подразнення заднього проходу,,,,,,,,,,,,
Диморфний геморой,біль під час випорожнення,біль у анальній ділянці,кров у калі,подразнення заднього проходу,,,,,,,,,,,,,
Диморфний геморой,запор,біль в анальній ділянці,кров у калі,подразнення заднього проходу,,,,,,,,,,,,,
Диморфний геморой,запор,біль під час випорожнення,кров у калі,подразнення заднього проходу,,,,,,,,,,,,,
Диморфний геморой,запор,біль під час випорожнення,біль у анальній ділянці,подразнення заднього проходу,,,,,,,,,,,,,
Диморфний геморой,запор,біль під час випорожнення,біль у анальній ділянці,кров у калі,,,,,,,,,,,,,
Диморфний геморой,запор,біль під час випорожнення,біль у анальній ділянці,кров у калі,подразнення заднього проходу,,,,,,,,,,,,
Диморфний геморой,запор,біль під час випорожнення,біль у анальній ділянці,кров у калі,подразнення заднього проходу,,,,,,,,,,,,
Серцевий напад,блювання,задишка,пітливість,біль у грудях,,,,,,,,,,,,,
Серцевий напад,блювання,задишка,пітливість,біль у грудях,,,,,,,,,,,,,
Серцевий напад,задишка,пітливість,біль у грудях,,,,,,,,,,,,,,
Серцевий напад,блювання,пітливість,біль у грудях,,,,,,,,,,,,,,
Серцевий напад,блювання,задишка,біль у грудях,,,,,,,,,,,,,,
Серцевий напад,блювання,задишка,пітливість,,,,,,,,,,,,,,
Серцевий напад,блювання,задишка,пітливість,біль у грудях,,,,,,,,,,,,,
Серцевий напад,задишка,пітливість,біль у грудях,,,,,,,,,,,,,,
Серцевий напад,блювання,пітливість,біль у грудях,,,,,,,,,,,,,,
Серцевий напад,блювання,задишка,біль у грудях,,,,,,,,,,,,,,
Варикозне розширення вен,втома,судоми,синці,ожиріння,опухлі ноги,роздуті кровоносні судини,виступаючі вени на литках,,,,,,,,,,
Варикозне розширення вен,втома,судоми,синці,ожиріння,опухлі ноги,роздуті кровоносні судини,виступаючі вени на литках,,,,,,,,,,
Варикозне розширення вен,судоми,синці,ожиріння,набряки ніг,набряклі кровоносні судини,виступаючі вени на литках,,,,,,,,,,,
Варикозне розширення вен,втома,синці,ожиріння,набряки ніг,набряклі кровоносні судини,виступаючі вени на литках,,,,,,,,,,,
Варикозне розширення вен,втома,судоми,ожиріння,набряки ніг,набряклі кровоносні судини,виступаючі вени на литках,,,,,,,,,,,
Варикозне розширення вен,втома,судоми,синці,набряки ніг,набряклі кровоносні судини,виступаючі вени на литках,,,,,,,,,,,
Варикозне розширення вен,втома,судоми,синці,ожиріння,роздуті кровоносні судини,виступаючі вени на литках,,,,,,,,,,,
Варикозне розширення вен,втома,судоми,синці,ожиріння,набряки ніг,виступаючі вени на литках,,,,,,,,,,,
Варикозне розширення вен,втома,судоми,синці,ожиріння,набряки ніг,набряки кровоносних судин,,,,,,,,,,,
Варикозне розширення вен,втома,судоми,синці,ожиріння,набряки ніг,виступаючі вени на литках,,,,,,,,,,,
Гіпотиреоз,втома,збільшення ваги,холодні руки та ноги,перепади настрою,млявість,запаморочення,одутле обличчя та очі,збільшення щитовидної залози,ламкість нігтів,набряки кінцівок,депресія,дратівливість,ненормальна менструація,,,,
Гіпотиреоз,втома,збільшення ваги,холодні руки та ноги,перепади настрою,млявість,запаморочення,одутле обличчя та очі,збільшення щитовидної залози,ламкість нігтів,набряки кінцівок,депресія,дратівливість,ненормальна менструація,,,,
Гіпотиреоз,збільшення ваги,холодні руки та ноги,перепади настрою,млявість,запаморочення,одутле обличчя та очі,збільшення щитовидної залози,ламкість нігтів,набряки кінцівок,депресія,дратівливість,ненормальна менструація,,,,,
Гіпотиреоз,збільшення ваги,холодні руки та ноги,перепади настрою,млявість,запаморочення,одутле обличчя та очі,збільшення щитовидної залози,ламкість нігтів,набряки кінцівок,депресія,дратівливість,ненормальна менструація,,,,,
Гіпотиреоз,втома,холодні руки та ноги,перепади настрою,млявість,запаморочення,одутле обличчя та очі,збільшення щитовидної залози,ламкість нігтів,набряки кінцівок,депресія,дратівливість,ненормальна менструація,,,,,
Гіпотиреоз,втома,збільшення ваги,перепади настрою,млявість,запаморочення,одутле обличчя та очі,збільшення щитовидної залози,ламкість нігтів,набряки кінцівок,депресія,дратівливість,ненормальна менструація,,,,,
Гіпотиреоз,втома,збільшення ваги,холодні руки та ноги,млявість,запаморочення,одутле обличчя та очі,збільшення щитовидної залози,ламкість нігтів,набряки кінцівок,депресія,дратівливість,ненормальна менструація,,,,,
Гіпотиреоз,втома,збільшення ваги,холодні руки та ноги,перепади настрою,запаморочення,одутле обличчя та очі,збільшення щитовидної залози,ламкість нігтів,набряки кінцівок,депресія,дратівливість,ненормальна менструація,,,,,
Гіпотиреоз,втома,збільшення ваги,холодні руки та ноги,перепади настрою,млявість,одутле обличчя та очі,збільшення щитовидної залози,ламкість нігтів,набряки кінцівок,депресія,дратівливість,ненормальна менструація,,,,,
Гіпотиреоз,втома,збільшення ваги,холодні руки та ноги,перепади настрою,млявість,запаморочення,збільшення щитовидної залози,ламкість нігтів,набряки кінцівок,депресія,дратівливість,ненормальна менструація,,,,,
Гіпертиреоз,втома,перепади настрою,втрата ваги,неспокій,пітливість,діарея,прискорене серцебиття,надмірний голод,м’язова слабкість,дратівливість,ненормальна менструація,,,,,,
Гіпертиреоз,втома,перепади настрою,втрата ваги,неспокій,пітливість,діарея,прискорене серцебиття,надмірний голод,м’язова слабкість,дратівливість,ненормальна менструація,,,,,,
Гіпертиреоз,перепади настрою,втрата ваги,неспокій,пітливість,діарея,прискорене серцебиття,надмірний голод,м’язова слабкість,дратівливість,ненормальна менструація,,,,,,,
Гіпертиреоз,втома,втрата ваги,неспокій,пітливість,діарея,прискорене серцебиття,надмірний голод,м’язова слабкість,дратівливість,ненормальна менструація,,,,,,,
Гіпертиреоз,втома,перепади настрою,неспокій,пітливість,діарея,прискорене серцебиття,надмірний голод,м’язова слабкість,дратівливість,ненормальна менструація,,,,,,,
Гіпертиреоз,втома,перепади настрою,втрата ваги,пітливість,діарея,прискорене серцебиття,надмірний голод,м’язова слабкість,дратівливість,ненормальна менструація,,,,,,,
Гіпертиреоз,втома,перепади настрою,втрата ваги,неспокій,діарея,прискорене серцебиття,надмірний голод,м’язова слабкість,дратівливість,ненормальна менструація,,,,,,,
Гіпертиреоз,втома,перепади настрою,втрата ваги,неспокій,пітливість,прискорене серцебиття,надмірний голод,м’язова слабкість,дратівливість,ненормальна менструація,,,,,,,
Гіпертиреоз,втома,перепади настрою,втрата ваги,неспокій,пітливість,діарея,надмірний голод,м’язова слабкість,дратівливість,ненормальна менструація,,,,,,,
Гіпертиреоз,втома,перепади настрою,втрата ваги,неспокій,пітливість,діарея,прискорене серцебиття,м’язова слабкість,дратівливість,ненормальна менструація,,,,,,,
Гіпоглікемія,блювання,втома,занепокоєння,пітливість,головний біль,нудота,затуманення та спотворення зору,надмірний голод,невиразна мова,дратівливість,серцебиття,,,,,,
Гіпоглікемія,блювання,втома,занепокоєння,пітливість,головний біль,нудота,затуманення та спотворення зору,надмірний голод,сухість і поколювання губ,невиразна мова,дратівливість,серцебиття,,,,,
Гіпоглікемія,блювання,втома,занепокоєння,пітливість,головний біль,нудота,затуманення та спотворення зору,надмірний голод,сухість і поколювання губ,невиразна мова,дратівливість,серцебиття,,,,,
Гіпоглікемія,втома,занепокоєння,пітливість,головний біль,нудота,затуманення та спотворення зору,надмірний голод,сухість і поколювання губ,невиразна мова,дратівливість,серцебиття,,,,,,
Гіпоглікемія,блювання,занепокоєння,пітливість,головний біль,нудота,затуманення та спотворення зору,надмірний голод,сухість і поколювання губ,невиразна мова,дратівливість,серцебиття,,,,,,
Гіпоглікемія,блювання,втома,пітливість,головний біль,нудота,затуманення та спотворення зору,надмірний голод,сухість і поколювання губ,невиразна мова,дратівливість,серцебиття,,,,,,
Гіпоглікемія,блювання,втома,занепокоєння,головний біль,нудота,затуманення та спотворення зору,надмірний голод,сухість і поколювання губ,невиразна мова,дратівливість,серцебиття,,,,,,
Гіпоглікемія,блювання,втома,занепокоєння,пітливість,нудота,затуманення та спотворення зору,надмірний голод,сухість і поколювання губ,невиразна мова,дратівливість,серцебиття,,,,,,
Гіпоглікемія,блювання,втома,занепокоєння,пітливість,головний біль,затуманення та спотворення зору,надмірний голод,сухість і поколювання губ,невиразна мова,дратівливість,серцебиття,,,,,,
Гіпоглікемія,блювання,втома,занепокоєння,пітливість,головний біль,нудота,надмірний голод,сухість і поколювання губ,невиразна мова,дратівливість,серцебиття,,,,,,
Остеоартроз,біль у суглобах,біль у шиї,біль у колінах,біль у кульшовому суглобі,набряк суглобів,болісна ходьба,,,,,,,,,,,
Остеоартроз,біль у суглобах,біль у шиї,біль у колінах,біль у кульшовому суглобі,набряк суглобів,болісна ходьба,,,,,,,,,,,
Остеоартроз,біль у шиї,біль у колінах,біль у кульшовому суглобі,набряк суглобів,болісна ходьба,,,,,,,,,,,,
Остеоартроз,біль у суглобах,біль у колінах,біль у кульшовому суглобі,набряк суглобів,болісна ходьба,,,,,,,,,,,,
Остеоартроз,біль у суглобах,біль у шиї,біль у кульшовому суглобі,набряк суглобів,болісна ходьба,,,,,,,,,,,,
Остеоартроз,біль у суглобах,біль у шиї,біль у колінах,набряк суглобів,болісна ходьба,,,,,,,,,,,,
Остеоартроз,біль у суглобах,біль у шиї,біль у колінах,біль у тазостегновому суглобі,болісна ходьба,,,,,,,,,,,,
Остеоартроз,біль у суглобах,біль у шиї,біль у колінах,біль у тазостегновому суглобі,набряк суглобів,,,,,,,,,,,,
Остеоартроз,біль у суглобах,біль у шиї,біль у колінах,біль у кульшовому суглобі,набряк суглобів,болісна ходьба,,,,,,,,,,,
Остеоартроз,біль у суглобах,біль у шиї,біль у колінах,біль у кульшовому суглобі,набряк суглобів,болісна ходьба,,,,,,,,,,,
Артрит,м’язова слабкість,ригідність шиї,набряк суглобів,скутість рухів,болісна ходьба,,,,,,,,,,,,
Артрит,м’язова слабкість,ригідність шиї,набряк суглобів,скутість рухів,болісна ходьба,,,,,,,,,,,,
Артрит,ригідність шиї,набряк суглобів,скутість рухів,болісна ходьба,,,,,,,,,,,,,
Артрит,м’язова слабкість,набряк суглобів,скутість рухів,болісна ходьба,,,,,,,,,,,,,
Артрит,м’язова слабкість,ригідність шиї,скутість рухів,болісна ходьба,,,,,,,,,,,,,
Артрит,м’язова слабкість,ригідність шиї,набряк суглобів,болісна ходьба,,,,,,,,,,,,,
Артрит,м’язова слабкість,ригідність шиї,набряк суглобів,скутість рухів,болісна ходьба,,,,,,,,,,,,
Артрит,м’язова слабкість,ригідність шиї,набряк суглобів,скутість рухів,,,,,,,,,,,,,
Артрит,м’язова слабкість,ригідність шиї,набряк суглобів,скутість рухів,болісна ходьба,,,,,,,,,,,,
Артрит,м’язова слабкість,ригідність шиї,набряк суглобів,скутість рухів,болісна ходьба,,,,,,,,,,,,
Пароймсальне позиційне запаморочення,блювання,головний біль,нудота,обертові рухи,втрата рівноваги,нестійкість,,,,,,,,,,,
Пароймсальне позиційне запаморочення,блювання,головний біль,нудота,обертові рухи,втрата рівноваги,нестійкість,,,,,,,,,,,
Пароймсальне позиційне запаморочення,головний біль,нудота,обертові рухи,втрата рівноваги,нестійкість,,,,,,,,,,,,
Пароймсальне позиційне запаморочення,блювання,нудота,обертові рухи,втрата рівноваги,нестійкість,,,,,,,,,,,,
Пароймсальне позиційне запаморочення,блювання,головний біль,обертові рухи,втрата рівноваги,нестійкість,,,,,,,,,,,,
Пароймсальне позиційне запаморочення,блювання,головний біль,нудота,втрата рівноваги,нестійкість,,,,,,,,,,,,
Пароймсальне позиційне запаморочення,блювання,головний біль,нудота,обертові рухи,нестабільність,,,,,,,,,,,,
Пароймсальне позиційне запаморочення,блювання,головний біль,нудота,обертові рухи,втрата рівноваги,,,,,,,,,,,,
Пароймсальне позиційне запаморочення,блювання,головний біль,нудота,обертові рухи,втрата рівноваги,нестійкість,,,,,,,,,,,
Пароймсальне позиційне запаморочення,блювання,головний біль,нудота,втрата рівноваги,нестійкість,,,,,,,,,,,,
Акне,шкірний висип,гнійні прищі,чорні точки,рубці,,,,,,,,,,,,,
Акне,шкірний висип,гнійні прищі,чорні точки,рубці,,,,,,,,,,,,,
Акне,гнійні прищі,чорні точки,рубці,,,,,,,,,,,,,,
Акне,шкірний висип,чорні точки,рубці,,,,,,,,,,,,,,
Акне,шкірний висип,гнійні прищі,рубці,,,,,,,,,,,,,,
Акне,шкірний висип,гнійні прищі,чорні точки,,,,,,,,,,,,,,
Акне,шкірний висип,гнійні прищі,вугри,рубці,,,,,,,,,,,,,
Акне,шкірний висип,гнійні прищі,чорні точки,,,,,,,,,,,,,,
Акне,шкірний висип,гнійні прищі,рубці,,,,,,,,,,,,,,
Акне,шкірний висип,чорні точки,рубці,,,,,,,,,,,,,,
Інфекція сечовивідних шляхів,печіння при сечовипусканні,дискомфорт у сечовому міхурі,неприємний запах сечі,постійне відчуття сечі,,,,,,,,,,,,,
Інфекція сечовивідних шляхів,печіння при сечовипусканні,дискомфорт у сечовому міхурі,неприємний запах сечі,постійне відчуття сечі,,,,,,,,,,,,,
Інфекція сечовивідних шляхів,дискомфорт у сечовому міхурі,неприємний запах сечі,постійне відчуття сечі,,,,,,,,,,,,,,
Інфекція сечовивідних шляхів,печіння сечовипускання,неприємний запах сечі,постійне відчуття сечі,,,,,,,,,,,,,,
Інфекція сечовивідних шляхів,печіння при сечовипусканні,дискомфорт у сечовому міхурі,постійне відчуття сечі,,,,,,,,,,,,,,
Інфекція сечовивідних шляхів,печіння при сечовипусканні,дискомфорт у сечовому міхурі,неприємний запах сечі,,,,,,,,,,,,,,
Інфекція сечовивідних шляхів,печіння при сечовипусканні,дискомфорт у сечовому міхурі,неприємний запах сечі,постійне відчуття сечі,,,,,,,,,,,,,
Інфекція сечовивідних шляхів,печіння при сечовипусканні,дискомфорт у сечовому міхурі,постійне відчуття сечі,,,,,,,,,,,,,,
Інфекція сечовивідних шляхів,дискомфорт у сечовому міхурі,неприємний запах сечі,постійне відчуття сечі,,,,,,,,,,,,,,
Інфекція сечовивідних шляхів,печіння при сечовипусканні,дискомфорт у сечовому міхурі,постійне відчуття сечі,,,,,,,,,,,,,,
Псоріаз,шкірний висип,біль у суглобах,лущення шкіри,сріблястий наліт,невеликі вм’ятини на нігтях,запалення нігтів,,,,,,,,,,,
Псоріаз,шкірний висип,біль у суглобах,лущення шкіри,сріблястий наліт,невеликі вм’ятини на нігтях,запалення нігтів,,,,,,,,,,,
Псоріаз,біль у суглобах,лущення шкіри,сріблястий наліт,невеликі вм’ятини на нігтях,запалення нігтів,,,,,,,,,,,,
